sep=,
"id","iname","price_pur","price1","price2","price3","price4","category","company","firstbalance","firstbalance_val","minbalance","img","active","ispack","scale","clr","siz","mdl","unit_name","unit_count","firstbalance_price","unit_id","min_price","sortin_cate","lastUpdate","ItemDiscription","expirtion_days","expirtion_days_alert","cate_id","isServiceItem","cost_id","id_inMainServer"
"900","قطاعه تفاح","7","15","15","15","15","قطاعه تفاح","","6","42","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"901","سكينه جرانيت صغير","10","20","20","20","20","سكينه جرانيت صغير","","38","380","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"902","غيار","10","15","15","15","15","غيار","","23","230","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"903","سكينه الوان","4.5","10","10","10","10","سكينه الوان","","6","27","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"904","سكينه خشب","5","10","10","10","10","سكينه خشب","","17","85","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"905","حبل غسيل","15","30","30","30","30","حبل غسيل","","9","135","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"906","سكينه 8","9","25","25","25","25","سكينه 8","","3","27","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"907","سكينه 7","8","20","20","20","20","سكينه 7","","3","24","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"908","سكينه 6","8.5","15","15","15","15","سكينه 6","","3","25.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"909","مضرب سوستا","14","30","30","30","30","مضرب سوستا","","8","112","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"910","مضرب سلك ص","7","15","15","15","15","مضرب سلك ص","","3","21","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"911","ماسك استلس","7","20","20","20","20","ماسك استلس","","5","35","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"912","قالب كب كيك","55","80","80","80","80","قالب كب كيك","","4","220","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"913","مضرب سلك الوان ","15","25","25","25","25","مضرب سلك الوان ","","6","90","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"914","مساحه زجاج","7","10","10","10","10","مساحه زجاج","","2","14","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"915","صبانه ","8","20","20","20","20","صبانه ","","3","24","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"916","مبشره الوان استنلس","12.5","30","30","30","30","مبشره الوان استنلس","","9","112.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"917","شياله استنلس","15","30","30","30","30","شياله استنلس","","6","90","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"918","قشاره بالواحده","5","10","10","10","10","قشاره","","18","90","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"919","غطيان سيلكون","25","30","30","30","30","غطيان سيلكون","","2","50","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"920","طقم سكينه","15","25","25","25","25","طقم سكينه","","3","45","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"921","مج حراري ديجتال","70","120","120","120","120","مج حراري ديجتال","","2","140","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"922","مج حراري استار بكس","45","80","80","80","75","مج حراري استار بكس","","18","810","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"923","لعبة بط كبير","75","120","120","120","120","لعبة بط كبير","","8","600","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"924","شراره شمس وامر عيد ميلاد","11","20","20","20","25","شراره عيد ميلاد","","156","936","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"925","ثلج كبير ","20","15","15","15","35","ثلج كبير ","","210","4200","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"926","اسبنر الوان ","5","12","12","12","12","اسبنر الوان ","","9","45","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"927","كارت vioctory","5","8","8","8","8","كارت فكتري","","18","90","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"928","حجر ","5","10","10","10","10","حجر veko","","36","180","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"929","دبوس مكتب طويل","6","15","15","15","15","دبوس مكتب طويل","","2","12","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"930","دبوس مكتب صغير ","2","10","10","10","10","دبوس مكتب صغير ","","3","6","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"931","كراسة عالم التلوين ","6","15","15","15","20","كراسة عالم التلوين ","","100","600","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"932","سلوتيب الوان كهرباء ص","3","7","7","7","7","سلوتيب الوان كهرباء ص","","20","60","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"933","بكر لف هدايا","2","10","10","10","10","بكر لف هدايا","","40","80","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"934","دباسه حديد  DS-45 kangaro","75","80","80","80","100","دباسه حديد kangaro","","5","375","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"935","عصايا فيل الوان","7.5","20","20","20","20","عصايا فيل الوان","","12","90","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"936","مسطره ارقام","1","5","5","5","8","مسطره ارقام","","24","24","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"937","شمع نار","0.6","1","1","1","1","شمع نار","","10","6","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"938","جلاد شفاف استيكر","4.3","30","30","30","7","جلاد شفاف استيكر","","4000","17200","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"939","استيكر ميكي","7.5","25","25","25","25","","","14","105","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"940","شطرنج كبير ","225","300","300","300","300","شطرنج كبير ","","1","225","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"941","كيبورد كمبيوتر","100","50","50","50","165","كيبورد كمبيوتر","","12","1200","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"942","شوكه عيدميلاد an","7.5","15","15","15","15","شوكه عيدميلاد an","","4","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"943","ماسك استليس","15","35","35","35","35","ماسك استليس","","1","15","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"944","طقم مصفه شاي بلاستيك","25","35","35","35","35","طقم مصفه شاي بلاستيك","","1","25","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"945","مصفه شاي بلاستيك صغيير","4","10","10","10","10","مصفه شاي بلاستيك صغيير","","2","8","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"946","مصفه شاي بلاستيك كبير","6","15","15","15","15","مصفه شاي بلاستيك كبير","","1","6","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"947","قاعده كوبايه","15","30","30","30","30","قاعده كوبايه","","1","15","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"948","مضرب سيلك خشب","7.5","15","15","15","15","مضرب سيلك خشب","","1","7.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"949","شياله بايد بلاستيك","12.5","25","25","25","25","شياله بايد بلاستيك","","5","62.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"950","سلطه ماسك","10","20","20","20","20","سلطه ماسك","","2","20","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"951","مضرب سيلك بيد بلاستيك","7.5","15","15","15","15","مضرب سيلك بيد بلاستيك","","1","7.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"952","ماسك ستليس","12.5","25","25","25","25","ماسك ستليس","","3","37.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"953","كوره نطاط صغير","22","25","25","25","25","كوره نطاط صغير","","1","22","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"954","كيس استيك فلوس غ","15","10","10","10","20","كيس استيك فلوس غ","","50","750","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"955","فيس شيلد","9","25","25","25","25","فيس شيلد","","22","198","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"956","استند نتيجه","5","10","10","10","10","استند نتيجه","","2","10","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"957","نتيجه كرتون","10","20","20","20","20","نتيجه كرتون","","3","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"958","نتيجه بلوك","6","10","10","10","15","نتيجه بلوك","","9","54","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"959","عربيه TWISTEER","20","30","30","30","30","عربيه TWISTEER","","4","80","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"960","دبل فيس صغير","8","8","8","8","15","دبل فيس صغير","","3","24","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"961","حجاره صغير lodosdv","3.5","10","10","10","10","حجاره صغير lodosdv","","15","52.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"962","حجر ص everady","5","15","15","15","15","حجر ص everady","","7","35","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"963","balloons ubl","15","30","30","30","30","balloons ubl","","12","180","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"964","شمع عيد ميلاد صغير ","3","6","6","6","6","شمع عييد ميلاد","","40","120","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"965","علبه مسدس 911A","22","50","50","50","50","علبه مسدس 911A","","2","44","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"966","رشاش AKM","93","170","170","170","170","رشاش AKM","","1","93","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"967","علبه مكياح كبير","75","160","160","160","120","علبه مكياح كبير","","1","75","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"968","ROBOT CAR","95","190","190","190","175","ROBOT CAR","","3","285","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"969","علبه جنود","120","185","185","185","185","علبه جنود","","3","360","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"970","علبه خرز بنات كبيرر","85","140","140","140","145","علبه خرز بنات كبيرر","","11","935","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"971","كوخ مكعبات","30","55","55","55","65","كوخ مكعبات","","25","750","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"972","باص مكعبات","34","60","60","60","60","باص مكعبات","","1","34","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"973","عربيه مكعبات","26.5","50","50","50","50","عربيه مكعبات","","5","132.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"974","مسدس صوت صغير","28","65","65","65","65","مسدس صوت صغير","","12","336","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"975","مسدس طلقات","200","100","100","100","395","مسدس طلقات","","5","275","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"976","POWER RANGERS","23","60","60","60","60","POWER RANGERS","","2","46","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"977","ميكانو كبير","145","145","145","145","265","ميكانو كبير","","3","435","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"978","كارت سمك","21","50","50","50","50","كارت سمك","","2","42","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"979","علبه عروسه فروزين","110","50","50","50","295","علبه عروسه فروزين","","8","880","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"980","كارت اساس","29","50","50","50","50","كارت اساس","","2","58","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"981","دومنه","120","85","85","85","285","دومنه","","4","184","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"982","كيس حيوانات ص","5.75","15","15","15","15","كيس حيوانات ص","","7","40.25","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"983","عربيه FERRARI","133","225","225","225","225","عربيه FERRARI","","1","133","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"984","مسدس حيوانات كبير","100","95","95","95","145","مسدس حيوانات كبير","","13","1300","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"985","كيس الحيوانات","25","50","50","50","45","كيس الحيوانات","","4","100","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"986","مسدس ديناصور","41","85","85","85","85","مسدس ديناصور","","2","82","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"987","كارت حرب","11","25","25","25","25","كارت حرب","","2","22","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"988","كارت شخصيات","110","60","60","60","210","كارت شخصيات","","8","880","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"989","طقم مسدس لاسلكي","20","50","50","50","50","طقم مسدس لاسلكي","","2","40","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"990"," علبه مسدس خرز طلق ","70","90","90","90","115","مسدس خرز طلق ","","4","280","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"991","شاحن REALME VOOC SMAS","43","85","85","85","85","شاحن REALME VOOC SMAS","","3","129","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"992","شاحن SAMS EARIDOM","25","60","60","60","60","شاحن SAMS EARIDOM","","1","25","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"993","USB SAMS GERLAX","9","35","35","35","35","USB SAMS GERLAX","","6","54","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"994","شاحن BINGO SAMS","25","50","50","50","50","شاحن BINGO SAMS","","2","50","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"995","واصله DOLPHINE SAMS","6","20","20","20","20","واصله DOLPHINE SAMS","","6","36","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"996","شاحن SAMS X50","36","90","90","90","90","شاحن SAMS X50","","2","72","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"997","WIRELESS SPORT HEADPHONE","38","90","90","90","90","WIRELESS SPORT HEADPHONE","","2","76","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"998","شاحن SAMS ORAIMO","18","45","45","45","45","شاحن SAMS ORAIMO","","2","36","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"999","شاحن REALMA TYPE.C","27","70","70","70","70","شاحن REALMA TYPE.C","","2","54","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1000","كبل SAMS R","7","30","30","30","30","كبل SAMS R","","6","42","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1001","كبل SAMS BIG","5","15","15","15","15","كبل SAMS BIG","","4","20","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1002","كبل SAMS XP-53","12","40","40","40","40","كبل SAMS XP-53","","4","48","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1003","كبل TYPE-C","12","35","35","35","35","كبل TYPE-C","","4","48","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1004","شاحن SAMUS 5G","24","50","50","50","50","شاحن SAMUS 5G","","4","96","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1005","كبل SAMAS XP-35","11","35","35","35","35","كبل SAMAS XP-35","","5","55","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1006","كبل SAMAS XP-25","10","30","30","30","30","كبل SAMAS XP-25","","3","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1007","كبل samus vidvie","5","20","20","20","20","كبل samus vidvie","","6","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1008","شاحن samsun 18w R","35","65","65","65","65","شاحن samsun 18w R","","8","280","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1009","كبل xp-32 SAMSUNG","11","40","40","40","40","كبل xp-32 SAMSUNG","","3","33","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1010","شاحن GFUZ","13","65","65","65","65","شاحن GFUZ","","3","39","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1011","كبل GFUZ SAMSUNG","8","30","30","30","30","كبل GFUZ SAMSUNG","","3","24","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1012","شاحن ORAIMO حراري","9","35","35","35","35","شاحن ORAIMO حراري","","3","27","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1013","كبل TYPE -C","25","50","50","50","50","كبل TYPE -C","","3","75","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1014","شاحن 2مخرج SAMSUNG","18","50","50","50","50","شاحن 2مخرج SAMSUNG","","3","54","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1015","شاحن كامل مخرج 1","15","40","40","40","40","شاحن كامل مخرج 1","","2","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1016","شاحن بيلف ","22","70","70","70","70","شاحن بيلف ","","2","44","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1017","شاحن AORAX","23","70","70","70","70","شاحن AORAX","","1","23","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1018","كبل FOR MICRO","12","25","25","25","25","كبل FOR MICRO","","3","36","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1019","كيس شاحن ","5","20","20","20","20","كيس شاحن ","","8","40","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1020","سماعه عاديه","12","25","25","25","25","سماعه عاديه","","2","24","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1021","سماعه كيس اصفر PIN-24","20","25","25","25","35","سماعه SR16","","20","400","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1022","سماعه SR16","12","30","30","30","30","سماعه SR16","","3","36","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1023","سماعه STEREO","7.5","40","40","40","40","سماعه STEREO","","2","15","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1024","شاشه 3D","15","35","35","35","35","شاشه 3D","","1","15","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1025","سماعهP100","14","35","35","35","35","سماعهP100","","14","196","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1026","سماعهLEGENDARY","11","30","30","30","30","سماعهLEGENDARY","","3","33","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1027","سماعه D-36","16","55","55","55","55","سماعه D-36","","2","32","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1028","سماعه D-37","16","55","55","55","55","سماعه D-37","","2","32","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1029","سماعه w15","12","35","35","35","35","سماعه w15","","5","60","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1030"," SPEAKER PORTABLE","45","170","170","170","170"," SPEAKER PORTABLE","","2","90","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1031","سماعه PUBG","70","180","180","180","180","سماعه PUBG","","2","140","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1032","سماعه بيتس YX-010","85","160","160","160","160","سماعه بيتس YX-010","","1","85","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1033","دراع pubg 2 ","12","35","35","35","35","دراع pubg 2 ","","3","36","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1034","دراع pubg 4 ","30","60","60","60","60","دراع pubg 4","","3","90","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1035","كيس بالون زماره بالواحده","0.1","30","30","30","0.5","كيس بالون زماره","","210","21","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1036","بي بليد حديد","25","55","55","55","55","بي بليد حديد","","5","125","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1037","محفظه رجالي عادي","5","15","15","15","15","محفظه رجالي عادي","","1","5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1038","بازل خشب صغير","17.5","20","20","20","30","","","47","822.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1039","بازل فومpenguin ","10","20","20","20","20","بازل فومpenguin ","","5","50","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1040","كراسه تحسين خط","5","10","10","10","10","كراسه تحسين خط","","7","35","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1041","مسطره تحديد حيوانات","6.5","20","20","20","20","مسطره تحديد اسماك","","15","97.5","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1042","بازل خشب مفرغ","20","30","30","30","30","بازل خشب مفرغ","","2","40","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1043","بازل مغناطيس","20","40","40","40","40","بازل مغناطيس","","1","20","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1044","بازل ارقام","15","30","30","30","30","بازل ارقام","","2","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1045","كربون","5","2","2","2","9","كربون","","550","2200","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1046","  ايصال استلام نقدي","7.5","5","5","5","14","ايصال استلام نقدي","","131","982.5","0","","True","False","False","0","0","0","","","0","1","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1047","حجاره تورش","15","25","25","25","25","حجاره تورش","","5","75","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1048","دبوس ملابس ","1.5","5","5","5","5","دبوس ملابس ","","32","48","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1049","صلصال رملي 2","31","15","15","15","70","ماسك اسد","","8","80","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1050","طرطور قطن","5.5","12","12","12","12","","","6","33","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1051","باز يطير","15","30","30","30","30","","","6","90","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1052","زينه كرتون ","10","25","25","25","25","زينه كرتون ","","3","30","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1053","حبل زينه","9","20","20","20","20","","","3","27","0","","True","False","False","0","0","0","","","","","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"1054","كيس زماره 5*1 شعبي","17.5","10","10","10","30","","","77","77","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
